name,stance,height_in,weight_lb,reach_in,date_of_birth,record,source_url
Chris Cariaso,Southpaw,,,64.0,,,
Anthony Leone,Orthodox,,,,,,
Junior Barata,Orthodox,,,,,,
Paul Daley,Orthodox,,,76.0,,,
Maycee Barber,Switch,,,65.0,,,
Miranda Maverick,Southpaw,,,65.0,,,
Gillian Robertson,Orthodox,,,63.0,,,
JJ Aldrich,Southpaw,,,67.0,,,
Hannah Cifers,Orthodox,,,62.0,,,
Jamie Colleen,Orthodox,,,65.0,,,
Bryan Barberena,Southpaw,,,72.0,,,
Gerald Meerschaert,Southpaw,,,77.0,,,
Makhmud Muradov,Orthodox,,,75.0,,,
Gunnar Nelson,Switch,,,72.0,,,
Rafael Dos Anjos,Southpaw,,,70.0,,,
Darian Weeks,Orthodox,,,72.0,,,
Jason Witt,Orthodox,,,70.0,,,
Anthony Ivy,Orthodox,,,74.0,,,
Randy Brown,Orthodox,,,78.0,,,
Vicente Luque,Orthodox,,,75.0,,,
Jake Ellenberger,Orthodox,,,71.0,,,
Joe Proctor,Orthodox,,,72.0,,,
Colby Covington,Orthodox,,,72.0,,,
Warlley Alves,Orthodox,,,72.0,,,
Sage Northcutt,Orthodox,,,71.0,,,
Chad Laprise,Orthodox,,,71.0,,,
Joe Ellenberger,Orthodox,,,72.0,,,
Djani Barbir,Orthodox,,,79.0,,,
Mantas Kondratavicius,Orthodox,,,75.0,,,
Dione Barbosa,Orthodox,,,66.0,,,
Diana Belbita,Orthodox,,,68.0,,,
Ernesta Kareckaite,Orthodox,,,71.0,,,
Rainn Guerrero,Orthodox,,,65.0,,,
Marcio Barbosa,Orthodox,,,70.0,,,
Damon Wilson,Switch,,,69.0,,,
Edson Barboza,Orthodox,,,75.0,,,
Drakkar Klose,Orthodox,,,70.0,,,
Lerone Murphy,Orthodox,,,73.0,,,
Sodiq Yusuff,Orthodox,,,71.0,,,
Billy Quarantillo,Orthodox,,,70.0,,,
Bryce Mitchell,Southpaw,,,70.0,,,
Giga Chikadze,Orthodox,,,74.0,,,
Shane Burgos,Orthodox,,,75.0,,,
Makwan Amirkhani,Southpaw,,,72.0,,,
Paul Felder,Orthodox,,,70.0,,,
Justin Gaethje,Orthodox,,,70.0,,,
Dan Hooker,Switch,,,75.0,,,
Kevin Lee,Orthodox,,,77.0,,,
Khabib Nurmagomedov,Orthodox,,,70.0,,,
Beneil Dariush,Southpaw,,,72.0,,,
Gilbert Melendez,Orthodox,,,73.0,,,
Anthony Pettis,Orthodox,,,72.0,,,
Tony Ferguson,Orthodox,,,76.0,,,
King Green,Orthodox,,,71.0,,,
Donald Cerrone,Orthodox,,,73.0,,,
Rafaello Oliveira,Orthodox,,,71.0,,,
Lucas Martins,Southpaw,,,72.0,,,
Jamie Varner,Orthodox,,,71.0,,,
Terry Etim,Orthodox,,,73.0,,,
