fight_id,event_name,fight_date,event_location,fighter_a,fighter_b,winner,weight_class,method,finish_round,finish_time,scheduled_rounds,main_event,source_url,title_fight
9687,UFC on FX: Sotiropoulos vs Pearson,2012-12-14,"Gold Coast, Queensland, Australia",Manuel Rodriguez,Ben Alloway,Ben Alloway,Welterweight,KO/TKO Kick,1.0,4:57,3,0,,0
9688,UFC Fight Night: Reyes vs. Weidman,2019-10-18,"Boston, Massachusetts, USA",Yair Rodriguez,Jeremy Stephens,Yair Rodriguez,Featherweight,U-DEC,3.0,5:00,3,0,,0
9689,UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,"Mexico City, Distrito Federal, Mexico",Yair Rodriguez,Jeremy Stephens,,Featherweight,CNC,1.0,0:15,5,1,,0
9690,UFC 188: Velasquez vs Werdum,2015-06-13,"Mexico City, Distrito Federal, Mexico",Yair Rodriguez,Charles Rosa,Yair Rodriguez,Featherweight,S-DEC,3.0,5:00,3,0,,0
9691,UFC Fight Night: De Randamie vs. Ladd,2019-07-13,"Sacramento, California, USA",Mike Rodriguez,John Allan,,Light Heavyweight,Overturned,3.0,5:00,3,0,,0
9692,UFC 300: Pereira vs. Hill,2024-04-13,"Las Vegas, Nevada, USA",Marina Rodriguez,Jessica Andrade,Jessica Andrade,Women's Strawweight,S-DEC,3.0,5:00,3,0,,0
9693,UFC Fight Night: Fiziev vs. Gamrot,2023-09-23,"Las Vegas, Nevada, USA",Marina Rodriguez,Michelle Waterson-Gomez,Marina Rodriguez,Women's Strawweight,KO/TKO Punches,2.0,2:42,3,0,,0
9694,UFC 272: Covington vs. Masvidal,2022-03-05,"Las Vegas, Nevada, USA",Marina Rodriguez,Yan Xiaonan,Marina Rodriguez,Women's Strawweight,S-DEC,3.0,5:00,3,0,,0
9695,UFC Fight Night: Rodriguez vs. Waterson,2021-05-08,"Las Vegas, Nevada, USA",Marina Rodriguez,Michelle Waterson-Gomez,Marina Rodriguez,Women's Flyweight,U-DEC,5.0,5:00,5,1,,0
9696,UFC Fight Night: Barboza vs. Gaethje,2019-03-30,"Philadelphia, Pennsylvania, USA",Marina Rodriguez,Jessica Aguilar,Marina Rodriguez,Women's Strawweight,U-DEC,3.0,5:00,3,0,,0
9697,UFC Fight Night: Edwards vs. Muhammad,2021-03-13,"Las Vegas, Nevada, USA",Ray Rodriguez,Rani Yahya,Rani Yahya,Bantamweight,SUB Arm Triangle,2.0,3:09,3,0,,0
